customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Probability,Risk,Recommendation,Top_Churn_Drivers,Monthly_Revenue_At_Risk
4376-KFVRS,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.05,8468.2,No,0.045871415600404225,Low,Continue regular customer engagement,"num__TotalCharges, cat__InternetService_Fiber optic, cat__InternetService_DSL",0.0
2754-SDJRD,Female,1,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.15,908.55,No,0.6820899868742315,Medium,Targeted engagement and personalized offer,"num__tenure, cat__Contract_Month-to-month, cat__InternetService_Fiber optic",0.0
9917-KWRBE,Female,0,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),78.35,3211.2,No,0.06261312683237048,Low,Continue regular customer engagement,"num__TotalCharges, cat__Contract_Two year, cat__MultipleLines_No",0.0
0365-GXEZS,Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,78.2,1468.75,No,0.39277855296431224,Low,Continue regular customer engagement,"num__tenure, cat__Contract_Month-to-month, cat__InternetService_Fiber optic",0.0
9385-NXKDA,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),82.65,5919.35,No,0.02010912688430943,Low,Continue regular customer engagement,"num__TotalCharges, cat__MultipleLines_No, cat__PaperlessBilling_No",0.0
4686-UXDML,Female,0,No,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.85,1992.55,No,0.6004201073346404,Medium,Targeted engagement and personalized offer,"num__tenure, cat__Contract_Month-to-month, cat__InternetService_Fiber optic",0.0
2227-JRSJX,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.15,1956.4,No,0.44154309403609987,Medium,Targeted engagement and personalized offer,"num__tenure, cat__Contract_Month-to-month, cat__InternetService_Fiber optic",0.0
4830-FAXFM,Male,0,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.1,439.2,No,0.12566844890547874,Low,Continue regular customer engagement,"num__tenure, cat__Contract_Month-to-month, cat__Contract_Two year",0.0
1830-IPXVJ,Female,0,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.75,1311.6,No,0.002543335779266509,Low,Continue regular customer engagement,"cat__InternetService_DSL, cat__OnlineSecurity_Yes, cat__Partner_No",0.0
4690-LLKUA,Male,1,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.05,770.6,Yes,0.39625179397215693,Low,Continue regular customer engagement,"num__tenure, cat__Contract_Month-to-month, cat__PaymentMethod_Electronic check",0.0
5804-HYIEZ,Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.05,7554.05,No,0.2765988247171067,Low,Continue regular customer engagement,"num__TotalCharges, cat__Contract_Month-to-month, cat__InternetService_Fiber optic",0.0
2388-LAESQ,Female,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.85,8317.95,No,0.06360534755984414,Low,Continue regular customer engagement,"num__TotalCharges, cat__InternetService_Fiber optic, cat__InternetService_DSL",0.0
5533-RJFTJ,Male,0,No,No,49,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.2,1453.1,No,0.1250421980611533,Low,Continue regular customer engagement,"cat__Contract_Month-to-month, cat__PhoneService_Yes, cat__Contract_Two year",0.0
4706-AXVKM,Female,1,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.8,906.85,Yes,0.6837683094406075,Medium,Targeted engagement and personalized offer,"num__tenure, cat__Contract_Month-to-month, cat__InternetService_Fiber optic",0.0
0997-YTLNY,Female,0,No,Yes,19,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,48.8,953.65,No,0.12552634954395173,Low,Continue regular customer engagement,"num__tenure, cat__Contract_Month-to-month, cat__Contract_Two year",0.0
7971-HLVXI,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),84.5,6130.85,No,0.056105932358449864,Low,Continue regular customer engagement,"num__TotalCharges, cat__InternetService_Fiber optic, cat__InternetService_DSL",0.0
7337-CINUD,Female,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.5,159.35,No,0.031910994219108146,Low,Continue regular customer engagement,"num__tenure, cat__InternetService_DSL, cat__OnlineSecurity_Yes",0.0
1379-FRVEB,Male,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.0,1430.05,No,0.6391900301447512,Medium,Targeted engagement and personalized offer,"num__tenure, cat__Contract_Month-to-month, cat__InternetService_Fiber optic",0.0
4753-PADAS,Female,0,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.7,6816.95,No,0.1855510834345713,Low,Continue regular customer engagement,"num__TotalCharges, cat__InternetService_Fiber optic, cat__Contract_Two year",0.0
5701-GUXDC,Female,0,Yes,No,26,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),35.4,978.6,No,0.08596228108462454,Low,Continue regular customer engagement,"num__tenure, cat__PhoneService_Yes, cat__Contract_Two year",0.0
7235-NXZCP,Male,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.85,156.4,Yes,0.7231692539186715,High,Immediate retention offer and customer support follow-up,"num__tenure, cat__Contract_Month-to-month, cat__InternetService_Fiber optic",74.85
0668-OGMHD,Female,0,Yes,No,21,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,28.5,629.35,No,0.262142329637478,Low,Continue regular customer engagement,"num__tenure, cat__Contract_Month-to-month, cat__PhoneService_Yes",0.0
2812-REYAT,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.05,923.1,No,0.01577999166110316,Low,Continue regular customer engagement,"cat__Contract_Two year, cat__InternetService_DSL, cat__PaperlessBilling_No",0.0
8779-YIQQA,Male,0,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.8,350.1,No,0.03560446985712445,Low,Continue regular customer engagement,"num__tenure, cat__Contract_Two year, cat__InternetService_DSL",0.0
9701-CDXHR,Female,0,Yes,No,51,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.15,3649.6,No,0.17657895893456454,Low,Continue regular customer engagement,"num__TotalCharges, cat__Contract_Month-to-month, cat__InternetService_Fiber optic",0.0
7130-CTCUS,Male,1,Yes,No,16,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.55,825.1,No,0.2107524732345895,Low,Continue regular customer engagement,"num__tenure, cat__Contract_Month-to-month, cat__Contract_Two year",0.0
1894-IGFSG,Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.25,1907.85,Yes,0.5671235622055835,Medium,Targeted engagement and personalized offer,"num__tenure, cat__Contract_Month-to-month, cat__InternetService_Fiber optic",0.0
0871-URUWO,Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.25,1359,Yes,0.6999216725390597,Medium,Targeted engagement and personalized offer,"num__tenure, cat__Contract_Month-to-month, cat__InternetService_Fiber optic",0.0
0057-QBUQH,Female,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.1,1070.15,No,0.017395454003836342,Low,Continue regular customer engagement,"cat__PaymentMethod_Electronic check, cat__InternetService_DSL, cat__MultipleLines_No",0.0
9611-CTWIH,Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.45,240.45,Yes,0.7717976295235002,High,Immediate retention offer and customer support follow-up,"num__tenure, cat__Contract_Month-to-month, cat__InternetService_Fiber optic",89.45
8058-DMYRU,Male,1,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,4931.8,No,0.4450009561855189,Medium,Targeted engagement and personalized offer,"num__TotalCharges, cat__Contract_Month-to-month, cat__InternetService_Fiber optic",0.0
5351-QESIO,Male,0,No,Yes,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.2,24.2,No,0.4397103406189138,Medium,Targeted engagement and personalized offer,"num__tenure, cat__Contract_Month-to-month, cat__PhoneService_Yes",0.0
4302-ZYFEL,Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.55,1403.1,No,0.00489706426917756,Low,Continue regular customer engagement,"cat__Contract_Two year, cat__InternetService_DSL, cat__PaperlessBilling_No",0.0
6134-KWTBV,Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.4,1429.65,No,0.004252752713550298,Low,Continue regular customer engagement,"cat__InternetService_DSL, cat__MultipleLines_No, cat__OnlineSecurity_Yes",0.0
2034-GDRCN,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,Yes,0.7778768368072646,High,Immediate retention offer and customer support follow-up,"num__tenure, cat__Contract_Month-to-month, cat__InternetService_Fiber optic",90.4
